Tahun;Harga;Lokasi;Kamar Tidur;Kamar Mandi;Luas Lahan;luas bangunan
2014;200;1;2;1;60;30
2023;300;8;2;1;60;30
2022;299;9;2;1;60;30
2019;300;4;1;1;52;95
2020;245;11;2;1;75;36
2017;235;12;2;1;73;30
2021;320;10;2;1;94;36
2016;237;7;2;1;60;28
2018;350;6;2;1;104;50
2020;470;13;3;3;147;70
2018;275;3;2;1;70;36
2019;305;5;2;1;66;45
2020;310;2;2;1;72;45
2018;310;14;2;1;72;45
2017;315;12;2;1;45;75
2019;312;9;2;1;45;72
2019;375;8;2;1;82;46
2018;270;1;2;1;61;30
2022;250;10;2;1;76;36
2023;297;1;2;1;75;45
2022;350;1;2;1;105;70
2020;300;10;2;1;74;42
2017;299;2;2;1;74;74
2021;280;8;2;1;88;36
2016;250;1;2;1;88;36
2018;375;2;2;1;72;72
2020;495;1;3;1;141;60
2018;475;8;2;1;90;50
2019;250;1;2;1;88;36
2020;278;10;2;1;72;36
2018;495;1;2;1;107;36
2017;495;1;2;1;107;36
2019;278;5;2;1;72;36
2019;278;14;2;1;71;36
2018;235;2;2;1;73;30
2022;302;7;3;2;121;60
2017;480;4;3;1;98;50
2019;325;3;2;1;70;36
2019;337;1;2;1;74;36
2018;331;1;2;1;72;36
2022;350;1;2;1;115;36
2023;270;2;2;1;61;30
2022;357;10;2;1;99;36
2020;205;1;1;1;60;23
2017;495;1;3;1;141;60
2021;475;1;3;2;101;70
2016;299;2;2;1;88;36
2018;250;5;2;1;88;36
2020;350;14;2;1;80;45
2018;250;2;2;1;97;36
2019;270;7;1;1;71;36
2010;240;4;2;1;45;62
2023;270;3;1;1;71;36
2022;295;1;2;1;125;36
2019;475;1;2;1;75;55
2020;465;1;2;1;132;53
2017;350;2;2;2;67;67
2021;350;10;2;2;67;67
2016;350;1;3;2;54;80
2018;685;1;3;2;120;77
2020;235;1;2;1;70;30
2018;270;2;2;1;61;30
2019;475;1;3;1;93;60
2020;350;8;2;1;104;50
2018;235;9;2;1;73;30
2017;475;4;3;1;85;47
2019;375;11;2;1;72;72
2019;278;12;2;1;71;36
2018;255;10;2;1;73;36
2022;235;7;2;1;73;30
2023;350;6;2;1;75;40
2019;357;13;2;1;99;36
2020;680;3;2;1;68;48
2017;475;5;2;1;104;60
2021;299;2;2;1;88;36
2016;299;14;2;1;88;36
2018;299;12;2;1;88;36
2020;300;9;2;1;66;36
2018;250;8;2;1;88;36
2019;375;1;2;1;72;72
2020;375;10;2;1;72;72
2018;235;1;2;1;73;30
2017;685;1;3;2;120;75
2019;270;8;1;1;71;36
2019;227;9;2;1;60;28
2018;275;4;2;1;70;36
2022;270;11;1;1;71;36
2023;270;12;2;1;71;36
2022;278;10;2;1;71;36
2020;270;7;1;1;71;36
2017;270;6;1;1;71;36
2021;375;13;2;1;72;72
2016;299;3;2;1;88;36
2018;689;5;3;2;120;77
2020;335;2;2;1;60;36
2018;260;14;2;1;88;40
2019;275;12;2;1;61;30
2020;278;9;2;1;71;36
2018;278;8;2;1;71;36
2017;495;1;2;1;72;72
2019;495;10;3;1;50;168
2019;200;1;2;1;60;30
2018;265;1;2;1;60;36
2022;227;10;2;1;60;28
2017;325;3;2;1;74;50
2019;475;8;2;1;78;36
2019;685;1;3;2;100;70
2018;270;2;2;1;61;30
2022;260;1;2;1;71;36
2023;255;8;1;2;62;40
2022;280;1;2;1;100;100
2020;350;10;2;1;103;50
2017;480;1;3;1;98;50
2021;495;1;3;1;168;50
2016;270;5;2;1;61;30
2018;260;14;2;1;71;36
2020;260;2;2;1;71;36
2018;260;7;2;1;71;36
2019;350;4;1;1;71;36
2010;350;3;2;1;104;50
2023;270;1;1;1;71;36
2022;270;1;2;1;61;30
2019;350;1;2;1;81;45
2020;325;2;2;1;74;50
2017;250;10;2;1;88;36
2021;299;1;2;1;88;36
2016;200;1;2;1;88;36
2018;370;1;2;1;94;36
2020;255;2;2;1;71;36
2018;299;5;2;1;88;36
2019;200;14;2;1;88;36
2020;299;2;2;1;66;36
2018;689;7;3;2;120;75
2017;685;4;3;2;98;75
2019;475;3;2;1;90;50
2019;275;1;2;1;71;36
2018;275;1;2;1;71;36
2022;270;1;2;1;61;30
2023;680;2;3;1;97;65
2021;495;10;2;1;45;85
2016;475;1;2;1;80;45
2018;260;1;2;1;72;36
2020;255;1;2;1;71;36
2018;260;2;2;1;72;36
2019;255;1;1;2;62;40
2010;357;8;2;1;132;36
2023;470;9;2;1;120;40
2022;270;4;2;1;61;30
2019;280;11;2;1;80;32
2020;490;12;2;1;84;45
2017;490;10;2;1;84;45
2021;475;7;2;1;73;60
2016;470;6;2;1;90;53
2018;260;13;2;1;72;36
2020;275;3;2;1;129;50
2023;253;5;2;1;73;30
2022;680;2;2;2;91;51
2019;235;14;2;1;73;30
2020;350;12;2;1;81;45
2017;200;9;2;1;60;30
2021;485;8;2;1;75;50
2016;485;1;2;1;75;50
2018;350;10;2;1;104;50
2020;480;1;2;1;108;42
2018;689;2;3;2;120;75
2019;260;1;2;1;72;36
2020;260;10;2;1;72;36
2018;270;8;2;1;61;30
2017;255;9;2;1;73;36
2019;328;2;2;1;71;36
2019;475;6;2;1;80;45
2018;260;4;2;1;70;32
2022;335;3;2;1;75;45
2023;470;13;2;1;90;53
2022;470;13;2;1;90;53
2020;475;10;3;2;101;70
2017;465;10;3;1;147;54
2021;250;2;2;1;97;36
2016;465;2;3;1;147;54
2018;250;4;2;1;76;36
2020;295;1;1;1;107;25
2018;495;1;2;1;107;43
2019;345;1;2;1;80;36
2020;250;5;2;1;60;30
2018;250;1;2;1;60;30
2017;680;1;3;1;97;65
2019;299;1;2;1;88;36
2019;299;1;2;1;88;36
2018;315;10;2;1;36;100
2022;270;6;2;1;61;30
2017;227;7;2;1;60;28
2019;247;3;2;1;75;36
2019;250;3;2;1;88;36
2018;689;5;7;4;235;470
2022;335;5;2;1;75;45
2023;270;10;2;1;61;30
2022;245;1;2;1;75;36
2020;350;1;2;1;75;40
2017;345;2;2;1;106;47
2021;349;1;2;1;74;40
2016;298;1;2;1;61;40
2018;298;11;2;1;61;40
2020;487;13;3;1;95;61
2018;480;1;3;1;92;59
2019;365;1;2;1;100;45
2010;685;3;3;2;120;77
2023;375;7;2;1;72;72
2022;290;10;2;1;70;45
2019;495;5;2;1;72;72
